Values, R:100000, C:1e-05, E:5
Time,Vc
0,0
0.001,0.0049975
0.002,0.00999001
0.003,0.0149775
0.004,0.0199601
0.005,0.0249376
0.006,0.0299102
0.007,0.0348778
0.008,0.0398404
0.009,0.0447981
0.01,0.0497508
0.011,0.0546986
0.012,0.0596414
0.013,0.0645793
0.014,0.0695123
0.015,0.0744403
0.016,0.0793634
0.017,0.0842816
0.018,0.0891948
0.019,0.0941032
0.02,0.0990066
0.021,0.103905
0.022,0.108799
0.023,0.113688
0.024,0.118571
0.025,0.12345
0.026,0.128325
0.027,0.133194
0.028,0.138058
0.029,0.142918
0.03,0.147772
0.031,0.152622
0.032,0.157467
0.033,0.162307
0.034,0.167142
0.035,0.171973
0.036,0.176799
0.037,0.181619
0.038,0.186435
0.039,0.191246
0.04,0.196053
0.041,0.200854
0.042,0.205651
0.043,0.210443
0.044,0.21523
0.045,0.220013
0.046,0.22479
0.047,0.229563
0.048,0.234331
0.049,0.239094
0.05,0.243853
0.051,0.248607
0.052,0.253356
0.053,0.2581
0.054,0.262839
0.055,0.267574
0.056,0.272304
0.057,0.27703
0.058,0.28175
0.059,0.286466
0.06,0.291177
0.061,0.295884
0.062,0.300586
0.063,0.305283
0.064,0.309975
0.065,0.314663
0.066,0.319346
0.067,0.324024
0.068,0.328698
0.069,0.333367
0.07,0.338031
0.071,0.342691
0.072,0.347346
0.073,0.351996
0.074,0.356642
0.075,0.361283
0.076,0.365919
0.077,0.370551
0.078,0.375178
0.079,0.3798
0.08,0.384418
0.081,0.389032
0.082,0.39364
0.083,0.398244
0.084,0.402844
0.085,0.407439
0.086,0.412029
0.087,0.416615
0.088,0.421196
0.089,0.425772
0.09,0.430344
0.091,0.434911
0.092,0.439474
0.093,0.444032
0.094,0.448586
0.095,0.453135
0.096,0.45768
0.097,0.46222
0.098,0.466755
0.099,0.471286
0.1,0.475813
0.101,0.480335
0.102,0.484852
0.103,0.489365
0.104,0.493874
0.105,0.498377
0.106,0.502877
0.107,0.507372
0.108,0.511862
0.109,0.516348
0.11,0.520829
0.111,0.525306
0.112,0.529779
0.113,0.534247
0.114,0.53871
0.115,0.543169
0.116,0.547624
0.117,0.552074
0.118,0.55652
0.119,0.560961
0.12,0.565398
0.121,0.56983
0.122,0.574258
0.123,0.578682
0.124,0.583101
0.125,0.587515
0.126,0.591926
0.127,0.596332
0.128,0.600733
0.129,0.60513
0.13,0.609523
0.131,0.613911
0.132,0.618295
0.133,0.622675
0.134,0.62705
0.135,0.63142
0.136,0.635787
0.137,0.640149
0.138,0.644507
0.139,0.64886
0.14,0.653209
0.141,0.657553
0.142,0.661894
0.143,0.66623
0.144,0.670561
0.145,0.674889
0.146,0.679211
0.147,0.68353
0.148,0.687844
0.149,0.692154
0.15,0.69646
0.151,0.700762
0.152,0.705059
0.153,0.709351
0.154,0.71364
0.155,0.717924
0.156,0.722204
0.157,0.72648
0.158,0.730751
0.159,0.735018
0.16,0.739281
0.161,0.74354
0.162,0.747794
0.163,0.752044
0.164,0.75629
0.165,0.760531
0.166,0.764769
0.167,0.769002
0.168,0.773231
0.169,0.777455
0.17,0.781676
0.171,0.785892
0.172,0.790104
0.173,0.794312
0.174,0.798516
0.175,0.802715
0.176,0.80691
0.177,0.811101
0.178,0.815288
0.179,0.819471
0.18,0.823649
0.181,0.827823
0.182,0.831993
0.183,0.836159
0.184,0.840321
0.185,0.844479
0.186,0.848632
0.187,0.852781
0.188,0.856926
0.189,0.861067
0.19,0.865204
0.191,0.869337
0.192,0.873466
0.193,0.87759
0.194,0.88171
0.195,0.885827
0.196,0.889939
0.197,0.894047
0.198,0.898151
0.199,0.902251
0.2,0.906346
0.201,0.910438
0.202,0.914525
0.203,0.918609
0.204,0.922688
0.205,0.926763
0.206,0.930835
0.207,0.934902
0.208,0.938965
0.209,0.943024
0.21,0.947079
0.211,0.95113
0.212,0.955177
0.213,0.959219
0.214,0.963258
0.215,0.967293
0.216,0.971323
0.217,0.97535
0.218,0.979373
0.219,0.983391
0.22,0.987406
0.221,0.991417
0.222,0.995423
0.223,0.999426
0.224,1.00342
0.225,1.00742
0.226,1.01141
0.227,1.0154
0.228,1.01938
0.229,1.02336
0.23,1.02733
0.231,1.0313
0.232,1.03527
0.233,1.03923
0.234,1.04319
0.235,1.04715
0.236,1.0511
0.237,1.05504
0.238,1.05899
0.239,1.06293
0.24,1.06686
0.241,1.07079
0.242,1.07472
0.243,1.07864
0.244,1.08256
0.245,1.08648
0.246,1.09039
0.247,1.0943
0.248,1.0982
0.249,1.1021
0.25,1.106
0.251,1.10989
0.252,1.11378
0.253,1.11766
0.254,1.12154
0.255,1.12542
0.256,1.12929
0.257,1.13316
0.258,1.13702
0.259,1.14088
0.26,1.14474
0.261,1.1486
0.262,1.15244
0.263,1.15629
0.264,1.16013
0.265,1.16397
0.266,1.1678
0.267,1.17163
0.268,1.17546
0.269,1.17928
0.27,1.1831
0.271,1.18692
0.272,1.19073
0.273,1.19454
0.274,1.19834
0.275,1.20214
0.276,1.20594
0.277,1.20973
0.278,1.21352
0.279,1.2173
0.28,1.22108
0.281,1.22486
0.282,1.22863
0.283,1.2324
0.284,1.23617
0.285,1.23993
0.286,1.24369
0.287,1.24744
0.288,1.25119
0.289,1.25494
0.29,1.25868
0.291,1.26242
0.292,1.26616
0.293,1.26989
0.294,1.27362
0.295,1.27734
0.296,1.28106
0.297,1.28478
0.298,1.28849
0.299,1.2922
0.3,1.29591
0.301,1.29961
0.302,1.30331
0.303,1.307
0.304,1.3107
0.305,1.31438
0.306,1.31807
0.307,1.32175
0.308,1.32542
0.309,1.3291
0.31,1.33277
0.311,1.33643
0.312,1.34009
0.313,1.34375
0.314,1.3474
0.315,1.35106
0.316,1.3547
0.317,1.35835
